"author","papers"
"Chaimowicz, Luiz","Context-Aware Semantic Navigation: A Fuzzy Logic Costmap Fusion Approach for ROS2; Deep Reinforcement Learning for Quadruped Locomotion in Genesis: A Comparative Study of PPO, SAC, and TD3 in Irregular Terrains"
"Clua, Esteban W. G.","Generative-Augmented Maritime Navigation Dataset: A Deep Synthetic Data Generation Framework; Multi-Variable Expanded Latent Space Autoencoder for Underwater Image Classification"
"Clua, Gonzalez","Challenges on Operational Procedures and Practical Experiences on Data Collection with Autonomous Sailboats"
"Coelho, N. R.","Synthetic Data Set for Surgical Instrument Detection"
"Conceicao, S","Real-Time Immersive Robotic Teleoperation Framework Using Virtual Reality and ROS"
"Conceição, Evelyn M.","Unplugged Computing as an Introductory Strategy for Teaching Block-Based Programming Using the NAO Humanoid Robot"
"Conceição, R.","Bridging TurboWarp and NAO: API Architecture for Block-Based Humanoid Robot Programming"
"Cordova, Lucas B. V.","Super-BoW Algorithm for Place Recognition in Indoor Environments"
"Corrêa, Maurício F. S.","An Automated and Compact Fiber Optic Tether System for Mobile Robots in Confined Spaces"
"Costa, A.","Mapping and Localization in Confined Underwater Environments: A Review and Research Agenda; Transformer Models for Underwater 3D Reconstruction: Advances, Challenges and Trends; Underwater Localization in Low-Texture Environments: Review, State of the Art and Perspectives"
"Costa, Arthur A.","UAV Visual Servoing for Electrical Distribution System Inspection; UPI-Dataset: A Balanced UAV-Based Image Dataset for Defect and Anomaly Detection in Power Distribution Systems"
"Costa, Davi O.","A Tiny Recursive Multi-Head Model for Semantic Traffic Sign Recognition in Autonomous Robotics"
"Costa, Emily C. S.","Use of Artificial Intelligence Techniques for Visual Localization Based on an Omnidirectional Catadioptric Camera"
"Costa, Victor G. A.","Systematic Review on Sensor Fusion Techniques for Mobile Robots Using LiDAR and Complementary Sensors"
"Cotrim, Reinaldo M.","Portable LiDAR-Based System for Plant Height Measurement with Cloud Integration; Seed Dispenser for Reforestation with Drones"
"Cruz, Benicio B.","Development of an Educational Robotics Kit Without the Use of Screens"
"Cruz, Benício B.","A Lightweight Open-Source Python-Based Simulator as an Educational Tool for Buoyancy Controlled Underwater Robotics"
"Cruz, Gustavo H. A.","Influence of Mutation Operators in a Differential Evolution-based Path Planning for Non-Holonomic Robots"
"Cukla, Anselmo R.","A Review of Proportional Navigation Guidance Laws: Formulations, Variants, and Implementation Considerations; Distance-Optimized Waypoint Sequencing for UAV Environmental Monitoring; Performance Analysis of the IMM-EKF Estimator for Trajectory Prediction of the Hermes 900 UAV; Super-BoW Algorithm for Place Recognition in Indoor Environments"
"Cunha, Mauro A. B.","Modeling and Control of Wind Disturbances in a Hybrid Unmanned Aerial-Underwater Vehicle"
"Cândido, José","Impact of Windowing on LiDAR Odometry"
"Dalmazo, Bruno L.","Anomaly Detection in ROS 2 Networks: A Hybrid Approach of Feature Selection and Feature Learning in Robotic Perception; Combining Entropy Metrics and Autoencoder–LSTM Models for Lightweight Data Injection Detection in ROS 2"
"Dantas, Igor M. L.","Generative-Augmented Maritime Navigation Dataset: A Deep Synthetic Data Generation Framework; Multi-Variable Expanded Latent Space Autoencoder for Underwater Image Classification"
"Dias, Anfranserai M.","Teleoperation of Mobile Robots on a Portable Platform with 2D Augmented Reality Games Integrated into ROS 2"
"Dias, Lucas M. A.","Distance-Optimized Waypoint Sequencing for UAV Environmental Monitoring"
"Diaz-Amado, Jose","Adaptive Proxemic Path Planning for Mobile Robots in Dynamic Human Environments with Predicted Motion"
"Distante, Cosimo","Generative-Augmented Maritime Navigation Dataset: A Deep Synthetic Data Generation Framework"
"Dorneles, Gabriel A.","Foundations of Vision Language Action Models for Generalist Robotic Manipulation"
"Dr, Prof.","A 5R Robotic Master Arm Proposal for Remote Control of the KUKA KR3 R540 Industrial Robot; Design of a Robotic Gripper with Magnetically Coupled Modular Fingers; Software Development for Function Generation Synthesis of Six-Bar Mechanisms via Optimization"
"Drews-Jr, Jorge","Super-BoW Algorithm for Place Recognition in Indoor Environments"
"Drews-Jr, Paulo L. J.","Combining Entropy Metrics and Autoencoder–LSTM Models for Lightweight Data Injection Detection in ROS 2; Cross domain Persistent Monitoring for Hybrid Aerial Underwater Vehicles; Distance-Optimized Waypoint Sequencing for UAV Environmental Monitoring; Foundations of Vision Language Action Models for Generalist Robotic Manipulation; Modeling and Control of Wind Disturbances in a Hybrid Unmanned Aerial-Underwater Vehicle; Propulsion of Hybrid Aerial-Underwater Vehicles: Experimental Setup and Dataset; Semantic Amodal Segmentation Methods in Autonomous Vehicles Environments: A Review"
"Driemeier, Felipe G. M. D. L.","Development of an Integrated Software System for an Othello-Playing Collaborative Robot"
"Driemeier, Larissa","An Active Learning Methodology for Teaching the Kalman Filter in Robotics Applications; Use of Artificial Intelligence Techniques for Visual Localization Based on an Omnidirectional Catadioptric Camera"
"Durand-Petiteville, Júnior A.","Development of a prototype of a medicine blister cutter; Synthetic Data Set for Surgical Instrument Detection"
"Dutra, Gustavo A.","Super-BoW Algorithm for Place Recognition in Indoor Environments"
"Ebrahim, Prof. D.","A 5R Robotic Master Arm Proposal for Remote Control of the KUKA KR3 R540 Industrial Robot"
"Eduardo, Luiz","A Lightweight Open-Source Python-Based Simulator as an Educational Tool for Buoyancy Controlled Underwater Robotics"
"Emanuele, Ana","Unplugged Computing and Educational Robotics in Early Childhood Education: Outreach Experiences with Playful and Sustainable Practices"
"Escalante, Felix M.","A Tiny Recursive Multi-Head Model for Semantic Traffic Sign Recognition in Autonomous Robotics"
"Estrada, Emanuel S. D.","Propulsion of Hybrid Aerial-Underwater Vehicles: Experimental Setup and Dataset"
"extracted], [ERROR: A. N.","Distributed Architecture for Pose Control of Differential-Drive Robots Using ESP32-S3 and MQTT"
"Fagundes-Junior, Leonardo A.","Learning2Learning: An Educational Open Source App for Data Visualization in Robotics Navigation; LiDAR-Based Intruder Identification and Prevention in Leader–Follower Formations; UAV Path-Planning for Autonomous Power-Line Inspection Missions"
"Farias, Soares","Seed Dispenser for Reforestation with Drones"
"Fernandes, Hugo R.","A Django-Based Web Framework for Teleoperation of Differential Robots Integrated with ROS2; Static Stability and Low-Level Actuation Control of a Wheel-Legged Agricultural Robot"
"Fernandes, Victor B. S.","An Agentic Framework for Aerial Swarms: Integrating LLMs with the Crazyswarm2"
"Fernando, Daniel","Super-BoW Algorithm for Place Recognition in Indoor Environments"
"Fernández, C. A. P.","Multi-Time Scale Control Allocation: A DCSV-Krylov Approach for Multicopters; Real-Time YOLO-Based Embedded System for Automated Breast Cancer Detection in Mammography"
"Filho, C. P.","Impact of Windowing on LiDAR Odometry"
"Filho, Leopoldo L.","A Tiny Recursive Multi-Head Model for Semantic Traffic Sign Recognition in Autonomous Robotics"
"Filho, Luis A. C.","LIBRAS Alphabet Recognition System Based on Landmarks and Artificial Neural Networks"
"Filho, Marco A. R. R.","A Review of Proportional Navigation Guidance Laws: Formulations, Variants, and Implementation Considerations"
"Filho, S. S.","Impact of Windowing on LiDAR Odometry"
"Flávio, Luiz","Seed Dispenser for Reforestation with Drones"
