CROS 2026 — Programação Técnica — Terça-Feira 28/04/26,,,
S29E1,32,Path-Planning and Control of a UAV for Autonomous Power-Line Inspection Missions,"Fagundes-Junior, Leonardo; Brandão, Alexandre"
S29E1,78,Performance Analysis of the IMM-EKF Estimator for Trajectory Prediction of the Hermes 900 UAV,"Bearzi, Carlos; Ciancaglio Netto,  Nelson; Cukla, Anselmo Rafael"
S29E1,133,Dispersive Polarized RRT (DP-RRT): A Novel Biased Sampling Strategy for Enhanced RRT Performance,"Santos Evangelista de Castro, Gil; Ádan Nunes de Carvalho, Elyson; Molina, Lucas; Oliveira Freire, Eduardo; Gilmar Nunes de Carvalho Filho, José"
S29E1,144,Path Planning in Dynamic Environments: A Comparison of Algorithms in the RoboCup SSL,"Barbosa, Gabriel; Vivaldini, Kelen; Pazelli, Tatiana"
S29E1,174,Influence of Mutation Operators in a Differential Evolution-based Path Planning for Non-Holonomic Robots,"J. R. Freitas , Elias; L. da Silva, Pedro; H. A. Cruz, Gustavo; H. V. Sousa, Leandro; C. A. Pimenta, Luciano"
S29E1,184,A Comparative Benchmark of Path Planning Algorithms in Dynamic Environments,"Asghar, Hasan Ali; Guerche, Felipe Delduque; Vivaldini, Kelen Teixeira; Inoue, Roberto Santos"
,,,
S29E2  |  Quarta - 15:40 as 17:40 - Sala 2: Mobile Robotics and Artificial Intelligence                                                              Chair: Alexandre Brandão,,,
Sessão,Paper ID,Título,Autores
S29E2,48,Embodied GPT-5.1: Evidence of a World Model?,"Martins, Thiago; Spinelli, Roberto"
S29E2,65,Use of Artificial Intelligence Techniques for Visual Localization Based on an Omnidirectional Catadioptric Camera,"Dos Santos Costa, Emily Caroline; Driemeier, Larissa; Lobo Lustosa Cabral, Eduardo"
S29E2,94,A Tiny Recursive Multi-Head Model for Semantic Traffic Sign Recognition in Autonomous Robotics,"Castro, Matheus; Silva, Cesar; Costa, Davi; Souza, Lucas; Escalante, Felix; Filho, Leopoldo"
S29E2,203,A WebRTC-Based Architecture for Remote Monitoring of Mobile Robots,"Muniz, Gabriel Víctor; Brandão, Alexandre Santos; da Silva, Michel Melo"
S29E2,175,Semantic Amodal Segmentation Methods in Autonomous Vehicles Environments: A Review,"Silva, Eduardo; Brião, Stephanie; Schein, Tatiana; Garcia, Jose; Oliveira, Felipe; Drews Junior, Paulo"
S29E2,71,Combining Entropy Metrics and Autoencoder-LSTM Models for Lightweight Data Injection Detection in ROS 2,"Gutierrez, Jorge; Dalmazo, Bruno; Drews, Paulo"
,,,
S29E3  |  Quarta - 15:40 as 17:40 - Sala 3: Educational Robotics II                                                                                                  Chair: Raul Paradeda,,,
Sessão,Paper ID,Título,Autores
S29E3,41,Miniaturized Mobile Robot for Educational  Applications in Logistics,"Grossl, César"
